CAX_ID,Dependent
Company1,0
Company4,0
Company7,0
Company10,0
Company12,0
Company21,0
Company29,0
Company30,0
Company33,0
Company36,0
Company37,0
Company45,0
Company53,0
Company56,0
Company58,0
Company72,0
Company61,0
Company64,0
Company66,0
Company73,0
Company96,0
Company80,0
Company82,0
Company87,0
Company90,0
Company93,0
Company101,0
Company98,0
Company103,0
Company132,0
Company133,0
Company117,0
Company123,0
Company124,0
Company127,0
Company131,0
Company135,0
Company142,0
Company191,0
Company140,0
Company141,0
Company192,0
Company155,0
Company157,0
Company159,0
Company160,0
Company165,0
Company170,0
Company195,0
Company179,0
Company184,0
Company185,0
Company201,0
Company211,0
Company194,0
Company213,0
Company217,0
Company203,0
Company257,0
Company260,0
Company261,0
Company270,0
Company232,0
Company236,0
Company238,0
Company242,0
Company243,0
Company244,0
Company248,0
Company249,0
Company251,0
Company253,0
Company275,0
Company292,0
Company307,0
Company312,0
Company288,0
Company293,0
Company300,0
Company304,0
